Entry,Entry name,Gene names,Subcellular location (Uniprot)
A8MWD9,RUXGL_HUMAN,SNRPGP15,Nucleus
O00442,RTCA_HUMAN,RTCA/RPC/RPC1/RTC1/RTCD1,"Nucleus, nucleoplasm."
O43143,DHX15_HUMAN,DHX15/DBP1/DDX15,"Nucleus. Nucleus, nucleolus."
O43172,PRP4_HUMAN,PRPF4/PRP4,Nucleus speckle
O43684,BUB3_HUMAN,BUB3,"Nucleus. Chromosome, centromere, kinetochore "
O43809,CPSF5_HUMAN,NUDT21/CFIM25/CPSF25/CPSF5,Nucleus
O60814,H2B1K_HUMAN,HIST1H2BK/H2BFT/HIRIP1,Nucleus. Chromosome.
O75367,H2AY_HUMAN,H2AFY/MACROH2A1,Nucleus 
O75592,MYCB2_HUMAN,MYCBP2/KIAA0916/PAM,Nucleus 
O75643,U520_HUMAN,SNRNP200/ASCC3L1/HELIC2/KIAA0788,Nucleus 
O75934,SPF27_HUMAN,BCAS2/DAM1,"Nucleus, nucleolus "
O94901,SUN1_HUMAN,SUN1/KIAA0810/UNC84A,Nucleus inner membrane 
P02545,LMNA_HUMAN,LMNA/LMN1,Nucleus. Nucleus envelope. Nucleus lamina. 
P04908,H2A1B_HUMAN,HIST1H2AB/H2AFM;/HIST1H2AE/H2AFA,Nucleus. Chromosome.
P05455,LA_HUMAN,SSB,Nucleus 
P06454,PTMA_HUMAN,PTMA/TMSA,Nucleus.
P08651,NFIC_HUMAN,NFIC/NFI,Nucleus.
P09012,SNRPA_HUMAN,SNRPA,Nucleus.
P09661,RU2A_HUMAN,SNRPA1,Nucleus.
P09874,PARP1_HUMAN,PARP1/ADPRT/PPOL,"Nucleus. Nucleus, nucleolus. "
P0C0S5,H2AZ_HUMAN,H2AFZ/H2AZ,Nucleus. Chromosome.
P10412,H14_HUMAN,HIST1H1E/H1F4,Nucleus. Chromosome. 
P12004,PCNA_HUMAN,PCNA,Nucleus 
P12956,XRCC6_HUMAN,XRCC6/G22P1,Nucleus 
P13010,XRCC5_HUMAN,XRCC5/G22P2,Nucleus 
P16403,H12_HUMAN,HIST1H1C/H1F2,Nucleus. Chromosome.
P17480,UBF1_HUMAN,UBTF/UBF/UBF1,"Nucleus, nucleolus "
P17844,DDX5_HUMAN,DDX5/G17P1/HELR/HLR1,"Nucleus, nucleolus "
P19387,RPB3_HUMAN,POLR2C/A-152E5.7,Nucleus 
P19388,RPAB1_HUMAN,POLR2E,Nucleus 
P20700,LMNB1_HUMAN,LMNB1/LMN2/LMNB,Nucleus inner membrane
P21291,CSRP1_HUMAN,CSRP1/CSRP/CYRP,Nucleus 
P26368,U2AF2_HUMAN,U2AF2/U2AF65,Nucleus.
P26599,PTBP1_HUMAN,PTBP1/PTB,Nucleus.
P27694,RFA1_HUMAN,RPA1/REPA1/RPA70,Nucleus 
P31942,HNRH3_HUMAN,HNRNPH3/HNRPH3,Nucleus 
P35244,RFA3_HUMAN,RPA3/REPA3/RPA14,Nucleus.
P35637,FUS_HUMAN,FUS/TLS,Nucleus 
P35659,DEK_HUMAN,DEK,Nucleus 
P39019,RS19_HUMAN,RPS19,Nucleus 
P39880,CUX1_HUMAN,CUX1/CUTL1,Nucleus.
P42166,LAP2A_HUMAN,TMPO/LAP2,Nucleus. Chromosome. 
P43243,MATR3_HUMAN,MATR3/KIAA0723,Nucleus matrix.
P46063,RECQ1_HUMAN,RECQL/RECQ1/RECQL1,Nucleus 
P50148,GNAQ_HUMAN,GNAQ/GAQ,Nucleus 
P50402,EMD_HUMAN,EMD/EDMD/STA,Nucleus inner membrane 
P51608,MECP2_HUMAN,MECP2,Nucleus. 
P51991,ROA3_HUMAN,HNRNPA3/HNRPA3,Nucleus 
P52272,HNRPM_HUMAN,HNRNPM/HNRPM/NAGR1,"Nucleus, nucleolus "
P52434,RPAB3_HUMAN,POLR2H,"Nucleus, nucleolus "
